qid,question,question_context,no_rag_llm_answer,no_rag_f1,no_rag_precision,no_rag_recall
5ad40158604f3c001a3ffd0f, How many Khitan Tumens weren't there?,"the Uighurs surrendered to the Mongols first, the Karluks surrendered after the Uighurs, and the Koreans surrendered last, and that the Uighurs surrendered peacefully without violently resisting. as Great Khan. Civil strife had permanently divided the Mongol Empire. tourists in Egypt, a bloody civil war in Algeria and Osama bin Laden's terror attacks climaxing in the 9/11 attack.",Four.,0.0,0.0,0.0
5a66893ff038b7001ab0bf74,What group needs to decide if they should make a creative plea or not?,"of participants being from governmental organizations. 2 are covered in the remainder of this article. Generals persuasively argued that Directives should create rights and duties for all citizens. The Court of Justice refused, but there are five large exceptions.",Creative team typically decides on such pleas.,0.0,0.0,0.0
5ad28253d7d075001a429833,What banks are usually sparsely populated and lack industrialization?,"California's most developed cities lie along or in close proximity to the coast, with the exception of San Bernardino and Riverside. and thus have a more positive impact on economic growth. and New York) with large differences in household income.","Rural areas, often found in developing or underdeveloped nations.",0.0,0.0,0.0
5726c5a9f1498d1400e8eac7,What could justify restrictions on freedom of establishment?,"and necessary way to tackle the serious problems of fraud that arise over the internet. In the Services Directive a group of justifications were codified in article 16 that the case law has developed. Therefore, there was no prima facie infringement freedom of establishment that needed to be justified. Generals persuasively argued that Directives should create rights and duties for all citizens. The Court of Justice refused, but there are five large exceptions.","National security, public health, or environmental concerns.",19.047619047619047,28.57142857142857,14.285714285714285
5705eccb52bb8914006896b9,Other than the desert city why do many locals and tourists frequent southern California?,"Many locals and tourists frequent the southern California coast for its popular beaches, and the desert city of Palm Springs is popular for its resort feel and nearby open spaces. region is further divided into many culturally distinct areas but as a whole combine to create the southern California atmosphere. With over 22 million people, southern California contains roughly 60 percent of California's population.","Beaches, theme parks, and year-round pleasant weather attract them.",20.0,11.11111111111111,100.0
5728855d3acd2414000dfa8e,Who was the Uighur King of Qocho ranked above?,"as Great Khan. Civil strife had permanently divided the Mongol Empire. an example is Tugh Temur (Emperor Wenzong), who wrote poetry, painted, read Chinese classical texts, and ordered the compilation of books. vulnerable to future revolts and defections to the Song.","The Uighur Khagan, a supreme ruler.",28.571428571428577,25.0,33.33333333333333
5729fd111d046914007796a6,Plant cells respond to the molecules associated with pathogens known as what?,"also act as scavengers, ridding the body of worn-out cells and other debris, and as antigen-presenting cells that activate the adaptive immune system. down protein synthesis in the host cell. Growth factors and cytotoxic factors may also be released. These cytokines and other chemicals recruit immune cells to the site of infection and promote healing of any damaged tissue following the removal of pathogens. secreted by the respiratory and gastrointestinal tract serves to trap and entangle microorganisms.",Molecules associated with pathogens trigger MAMPs response.,0.0,0.0,0.0
5a23565482b03a001a4aa78e,What Classification system is newer than the North American Industry Classification System?,"and specialty trade contractors. There are also categories for construction service firms (e.g., engineering, architecture) and construction managers (firms engaged in managing construction projects without assuming direct financial responsibility for completion of the construction project). Centre and the National Greenhouse Gas Inventories Programme, required under the UNFCCC. This involves publishing default emission factors, which are factors used to derive emissions estimates based on the levels of fuel consumption, industrial production and so on. 1.5 Mbit/s (T1), and 45 Mbit/s (T3) that were constructed to support NSF's networking initiatives from 1985-1995. Initially created to link researchers to the nation's NSF-funded supercomputing centers, through further public funding and private industry partnerships it developed into a major part of the Internet backbone.",North American Product Classification System (NAPCS).,0.0,0.0,0.0
570d4329fed7b91900d45dd9,What did the finding of gold in Victoria cause?,"gold nugget. Victoria produced in the decade 1851–1860 20 million ounces of gold, one third of the world's output[citation needed]. a short time, the Imperial Parliament granted Victoria responsible government with the passage of the Colony of Victoria Act 1855. Some of the leaders of the Eureka rebellion went on to become members of the Victorian Parliament. in New South Wales. However, there was a riot at Buckland Valley near Bright in 1857. Conditions on the gold fields were cramped and unsanitary; an outbreak of typhoid at Buckland Valley in 1854 killed over 1,000 miners.","Mass migration to Australia, known as the Gold Rush.",40.0,25.0,100.0
5a3e42de378766001a00252a,On what date did John Lawrence Daly present the IPCC 1995 report?,"quoted by the IPCC from the WWF report, which has misquoted its own source, an ICSI report ""Variations of Snow and Ice in the past and at present on a Global and Regional Scale"". years studied, the actual temperature rise was near the top end of the range given by IPCC's 2001 projection, and the actual sea level rise was above the top of the range of the IPCC projection. endorsed by the Canadian Foundation for Climate and Atmospheric Sciences, Canadian Meteorological and Oceanographic Society, and European Geosciences Union (refer to ""Endorsements of the IPCC"").","May 29, 1996 (the actual presentation was in June but reported on May 29).",0.0,0.0,0.0
5729f799af94a219006aa708,The function of long-lived memory cells is an example of what kind of immune response?,"retained after the pathogen has been eliminated, in the form of an immunological memory, and allows the adaptive immune system to mount faster and stronger attacks each time this pathogen is encountered. as an adaptation to infection with that pathogen and prepares the immune system for future challenges. Immunological memory can be in the form of either passive short-term memory or active long-term memory. the ability to adapt over time to recognize specific pathogens more efficiently. Adaptive (or acquired) immunity creates immunological memory after an initial response to a specific pathogen, leading to an enhanced response to subsequent encounters with that same pathogen. This process of acquired immunity is the basis of vaccination.","Humoral immunity, specifically antibody-mediated.",0.0,0.0,0.0
5ad14012645df0001a2d13b0,What is generally not accepted about EU law?,"Generals persuasively argued that Directives should create rights and duties for all citizens. The Court of Justice refused, but there are five large exceptions. law in the Court of Justice of the European Union if the Treaty provisions have a direct effect and they are sufficiently clear, precise and unconditional. question: who ultimately has the ""competence"" to define the EU's ""competence"". Many member state courts believe they decide, other member state Parliaments believe they decide, while within the EU, the Court of Justice believes it has the final say.",National sovereignty and laws often prevail over EU regulations.,0.0,0.0,0.0
5a564c956349e2001acdcd1d,How were messages delivered before implementation? ,"The Lucas–Lehmer test is particularly fast for numbers of this form. This is why the largest known prime has almost always been a Mersenne prime since the dawn of electronic computers. P-2626 described a general architecture for a large-scale, distributed, survivable communications network. The work focuses on three key ideas: use of a decentralized network with multiple paths between any two points, dividing user messages into message blocks, later called packets, and delivery of these messages by store and forward switching. Before the actual research explicitly devoted to the complexity of algorithmic problems started off, numerous foundations were laid out by various researchers. Most influential among these was the definition of Turing machines by Alan Turing in 1936, which turned out to be a very robust and flexible simplification of a computer.","Via postal services, messengers, or oral communication.",0.0,0.0,0.0
573766251c45671900574474,How are laboratory measurements of forces determined?,"Through experimentation, it is determined that laboratory measurements of forces are fully consistent with the conceptual definition of force offered by Newtonian mechanics. law as an equality; the relative units of force and mass then are fixed. it is impossible to decide whether the net force is the result of adding the two force magnitudes or subtracting one from the other. Associating forces with vectors avoids such problems.","Using instruments like balances, spring scales, or force sensors.",0.0,0.0,0.0
5ad157cf645df0001a2d1815,What did articles 1 to 4 not generally require of workers?,"Generals persuasively argued that Directives should create rights and duties for all citizens. The Court of Justice refused, but there are five large exceptions. who has the profit motive as the prime interest, it is a losing proposition to offer below or above market wages to workers. 2 are covered in the remainder of this article.",Articles 1-4 didn't specify worker qualifications or rights.,0.0,0.0,0.0
5a66938ff038b7001ab0bffc,"In the US v. Burgos-Andujar, why was a member of the Navy's sentence increased?","lawbreaking for political purposes, some civil disobedients seek jury nullification. Over the years, this has been made more difficult by court decisions such as Sparf v. United States, which held that the judge need not inform jurors of their nullification prerogative, and United States v. Dougherty, which held that the judge need not allow defendants to openly seek jury nullification. the Indians from stripping the prisoners of their valuables, which angered the Indians. all the way, whether it is done by remaining in jail, or by evading it. To accept jail penitently as an accession to 'the rules' is to switch suddenly to a spirit of subservience, to demean the seriousness of the protest...In particular, the neo-conservative insistence on a guilty plea should be eliminated.""",Aggravated assault on fellow sailor with knife.,0.0,0.0,0.0
5ad2442bd7d075001a428a3d,What impact does workers working less have on productivity of a business?,"lower, population-wide satisfaction and happiness tend to be higher. and thus have a more positive impact on economic growth. who has the profit motive as the prime interest, it is a losing proposition to offer below or above market wages to workers.","Increased worker efficiency, reduced costs, higher productivity.",0.0,0.0,0.0
572f567cb2c2fd140056803f,What is the conventional method to measure the Rhine? ,"1 − xO, where x is usually around 0.05. e.g., 3, 1 · 3, 1 · 1 · 3, etc. are all valid factorizations of 3. believed to be correct. In particular, the simplest assumption is that primes should have no significant irregularities without good reason.",The conventional method uses a float or weir system.,0.0,0.0,0.0
5ad02cde77cf76001a686cc9,What was passed in 1805?,"for a town government, which was approved by the Florida Legislative Council on February 9, 1832. County. The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote. and the right to remain undisturbed in their homes. The British provided medical treatment for the sick and wounded French soldiers and French regular troops were returned to France aboard British ships with an agreement that they were not to serve again in the present war.",The Act to Reduce Pernicious Practices was passed.,0.0,0.0,0.0
57280fd3ff5b5019007d9c27,For what nation did Ribault initially claim what is now Jacksonville?,"Huguenots, after which he wiped out the Fort Caroline garrison. it. The Spanish renamed the fort San Mateo, and following the ejection of the French, St. Augustine's position as the most important settlement in Florida was solidified. The location of Fort Caroline is subject to debate but a reconstruction of the fort was established on the St. Johns River in 1964. French Huguenot explorer Jean Ribault charted the St. Johns River in 1562 calling it the River of May because he discovered it in May. Ribault erected a stone column near present-day Jacksonville claiming the newly discovered land for France. In 1564, René Goulaine de Laudonnière established the first European settlement, Fort Caroline, on the St. Johns near the main village of the Saturiwa.","France, under Jean Ribault's French Huguenot expedition.",25.0,14.285714285714285,100.0
570d529fb3d812140066d6bc,"Besides cultural events, what other tourist attraction does Victoria have?","Many locals and tourists frequent the southern California coast for its popular beaches, and the desert city of Palm Springs is popular for its resort feel and nearby open spaces. and hosted three America's Cup races during that time. prominent citizens dating back more than three centuries.",The Royal Botanic Gardens is a popular tourist destination.,0.0,0.0,0.0
5ad4bea25b96ef001a109ef9,In what year did Boleslaw become the official capital of the Masovian Duchy?,"The first historical reference to Warsaw dates back to the year 1313, at a time when Kraków served as the Polish capital city. Due to its central location between the Polish–Lithuanian Commonwealth's capitals of Kraków and Vilnius, Warsaw became the capital of the Commonwealth and of the Crown of the Kingdom of Poland when King Sigismund III Vasa moved his court from Kraków to Warsaw in 1596. as better only because they lived in the capital. Unfortunately this belief still lives on in Poland (although not as much as it used to be) – even though since 1990 there are no limitations to residency registration anymore. the modern-day Warsaw, in about 1300. In the beginning of the 14th century it became one of the seats of the Dukes of Masovia, becoming the official capital of Masovian Duchy in 1413. 14th-century Warsaw's economy rested on mostly crafts and trade. Upon the extinction of the local ducal line, the duchy was reincorporated into the Polish Crown in 1526.",1275.,0.0,0.0,0.0
5ad3f846604f3c001a3ffa60,What engines were used throughout most of the 20th century to propel power plants?,"90% of the electric power is produced in this way using a variety of heat sources. Steam turbines were extensively applied for propulsion of large ships throughout most of the 20th century. Considering that the great majority of worldwide electric generation is produced by turbine type steam engines, the ""steam age"" is continuing with energy levels far beyond those of the turn of the 19th century. Steam engines are external combustion engines, where the working fluid is separate from the combustion products. Non-combustion heat sources such as solar power, nuclear power or geothermal energy may be used. The ideal thermodynamic cycle used to analyze this process is called the Rankine cycle. In the cycle, water is heated and transforms into steam within a boiler operating at a high pressure.",Steam turbines and reciprocating steam engines.,0.0,0.0,0.0
56de52614396321400ee27fb,Where did the monks flee to?,"in France became Catholics and were called ""new converts"". tourists in Egypt, a bloody civil war in Algeria and Osama bin Laden's terror attacks climaxing in the 9/11 attack. was seized by the Ming shortly after his death. Some royal family members still lived in Henan today.",The monks fled to a nearby mountain.,0.0,0.0,0.0
5ad262f7d7d075001a4290d6,Who explained that reference frames subject to constant deceleration?,"frame. This principle of equivalence was one of the foundational underpinnings for the development of the general theory of relativity. physics are the same in every inertial frame of reference, that is, in all frames related by a Galilean transformation. time derivative of the changing momentum of the object is what we label as ""gravitational force"".","Galilean transformation, by Galileo.",0.0,0.0,0.0
